run,round,group,modules,utility,cumulative_utility,quality,fatal,trust_mean,trust_var,trust_gini,collapse_index,a9_selected,a10_selected
1,1,TRUE,3,60,60.0,0.3333333333333333,0,0.49762994064836275,0.08216489424073532,0.013715578900895808,0.006857789450447904,0,0
1,2,TRUE,4,60,120.0,0.75,0,0.5025807347917584,0.08093293018073924,0.022836328868545808,0.011418164434272904,0,0
1,3,TRUE,3,100,220.0,1.0,0,0.5081118003099198,0.08061548993844146,0.016810447541465434,0.008405223770732717,0,0
1,4,TRUE,5,-200,20.0,0.4,1,0.5048890984438974,0.0799277506089218,0.015204786036077111,0.007602393018038556,0,0
1,5,TRUE,5,-200,-180.0,0.8,1,0.507315142543139,0.07913880586651022,0.023817062764811103,0.011908531382405552,0,0
1,6,TRUE,4,60,-120.0,0.75,0,0.5090981505006982,0.07840748473566388,0.029347106202357587,0.014673553101178793,0,0
1,7,TRUE,3,100,-20.0,1.0,0,0.5134194123909575,0.07811505850823666,0.025636151572828947,0.012818075786414473,0,0
1,8,TRUE,4,100,80.0,1.0,0,0.5165415348791046,0.07770956941897823,0.030748060297133728,0.015374030148566864,0,0
1,9,TRUE,3,60,140.0,0.3333333333333333,0,0.5141296575075716,0.07713840478814189,0.038451306651015926,0.019225653325507963,0,0
1,10,TRUE,3,60,200.0,0.6666666666666666,0,0.5144032555780331,0.07631768770054438,0.04645400302739833,0.023227001513699164,0,0
1,11,TRUE,4,60,260.0,0.25,0,0.5080452710236596,0.07509501328791772,0.05958060942285215,0.029790304711426074,0,0
1,12,TRUE,4,60,320.0,0.5,0,0.5051701247926954,0.07466698329240942,0.06197813772090521,0.030989068860452607,0,0
1,13,TRUE,4,60,380.0,0.25,0,0.5002188330405645,0.0736308571108015,0.07193154526495116,0.03596577263247558,0,0
1,14,TRUE,5,60,440.0,0.4,0,0.4961643813983029,0.0726052670077539,0.08104351952557654,0.04052175976278827,0,0
1,15,TRUE,4,-200,240.0,0.75,1,0.4994236696475775,0.07213807214354022,0.07944015815973504,0.03972007907986752,0,0
1,16,TRUE,5,-200,40.0,0.6,1,0.4995524129760433,0.07173991920341698,0.08196815120686196,0.04098407560343098,0,0
1,17,TRUE,5,60,100.0,0.6,0,0.4984954489411703,0.07139481884195263,0.08354829845838418,0.04177414922919209,0,0
1,18,TRUE,4,60,160.0,0.5,0,0.49706796067721065,0.07110260960232584,0.08450636119244614,0.04225318059622307,0,0
1,19,TRUE,3,60,220.0,0.3333333333333333,0,0.49363520360360136,0.07035703559552998,0.09099353187497328,0.04549676593748664,0,0
1,20,TRUE,3,60,280.0,0.6666666666666666,0,0.4940312605418605,0.0695811244680012,0.09747344161001892,0.04873672080500946,0,0
1,21,TRUE,4,60,340.0,0.5,0,0.4913293730118052,0.06922532036062952,0.09720680633766787,0.048603403168833936,0,0
1,22,TRUE,4,60,400.0,0.5,0,0.48827449661456085,0.06894172592903841,0.09683234771275173,0.048416173856375866,0,0
1,23,TRUE,5,-200,200.0,0.6,1,0.48775573294324975,0.06854575875331165,0.09931527416085006,0.04965763708042503,0,0
1,24,TRUE,4,60,260.0,0.75,0,0.48723321802847547,0.068210079415733,0.10303928109782778,0.05151964054891389,0,0
1,25,TRUE,5,-200,60.0,0.6,1,0.4850898811383509,0.06776220600805077,0.10699706095857553,0.053498530479287765,0,0
1,26,TRUE,5,60,120.0,0.8,0,0.48468325765072495,0.06746126078322955,0.11003069118969377,0.05501534559484689,0,0
1,27,TRUE,4,60,180.0,0.75,0,0.48439447539465214,0.0672592658920298,0.1125122553165796,0.06339898480114695,0,0
1,28,TRUE,5,-200,-20.0,0.4,1,0.48274854578270743,0.06712794964175606,0.11166066158130672,0.0629731879335105,0,0
1,29,TRUE,5,60,40.0,0.6,0,0.4819844530034062,0.0669975057435956,0.11266167185083731,0.07061655021113294,0,0
1,30,TRUE,4,60,100.0,0.75,0,0.482895590574649,0.06687391511701028,0.11227646242355127,0.07042394549748993,0,0
1,31,TRUE,3,100,200.0,1.0,0,0.48417845659458464,0.06676293967337062,0.11305690084115283,0.0708141647062907,0,0
1,32,TRUE,5,-200,0.0,0.6,1,0.48442803443291493,0.06658860957314398,0.113234655299566,0.07090304193549729,0,0
1,33,TRUE,5,-200,-200.0,0.8,1,0.48506376968485493,0.06646002027028913,0.11418495698110154,0.07137819277626506,0,0
1,34,TRUE,4,-200,-400.0,0.75,1,0.4856440089986995,0.06635574596831882,0.11487038804777572,0.07172090830960215,0,0
1,35,TRUE,5,-200,-600.0,0.4,2,0.48412879404227765,0.06636081404252939,0.11226394461297629,0.07041768659220243,0,0
1,36,TRUE,5,-200,-800.0,0.6,1,0.4833014070565371,0.06633778567145979,0.11099090489990604,0.06978116673566731,0,0
